text,category
Prepare for math exam,study
Write laboratory report,study
Study Python for exam,study
Complete homework assignment,study
Prepare presentation slides,study
Clean the kitchen,home
Wash the dishes,home
Vacuum the apartment,home
Buy groceries for dinner,home
Take out the trash,home
Finish project documentation,work
Reply to emails,work
Fix backend bug,work
Implement new feature,work
Attend team meeting,work
Go to gym,personal
Read a book,personal
Go for a walk,personal
Watch a movie,personal
Plan weekend activities,personal
Review calculus notes,study
Practice linear algebra problems,study
Read chapter on algorithms,study
Prepare for physics test,study
Solve programming exercises,study
Study database normalization,study
Watch tutorial on machine learning,study
Rewrite lecture notes,study
Prepare cheat sheet for exam,study
Complete online quiz,study
Analyze case study for class,study
Prepare group project outline,study
Research topic for essay,study
Practice coding interview questions,study
Review statistics formulas,study
Study operating systems concepts,study
Prepare slides for seminar,study
Read scientific article,study
Summarize textbook chapter,study
Practice SQL queries,study
Clean the bathroom,home
Mop the floor,home
Organize wardrobe,home
Clean refrigerator,home
Wash windows,home
Do laundry,home
Iron clothes,home
Clean microwave,home
Organize kitchen shelves,home
Water house plants,home
Fix broken shelf,home
Change light bulb,home
Organize storage boxes,home
Clean desk area,home
Prepare dinner at home,home
Clean balcony,home
Rearrange furniture,home
Wash bathroom tiles,home
Organize pantry,home
Take recycling outside,home
Write weekly work report,work
Prepare project roadmap,work
Review code changes,work
Debug API endpoint,work
Update project documentation,work
Deploy application update,work
Fix frontend layout issue,work
Optimize database queries,work
Attend sprint planning meeting,work
Prepare task estimates,work
Refactor legacy code,work
Review pull request,work
Implement authentication feature,work
Test application performance,work
Prepare demo for client,work
Analyze bug reports,work
Update Jira tickets,work
Fix CI pipeline error,work
Prepare release notes,work
Monitor server logs,work
Go jogging in the park,personal
Meditate for 10 minutes,personal
Call a friend,personal
Listen to podcast,personal
Plan personal goals,personal
Go for bike ride,personal
Watch documentary,personal
Practice guitar,personal
Learn new recipe,personal
Take a short nap,personal
Do morning stretching,personal
Practice mindfulness,personal
Organize personal finances,personal
Read news articles,personal
Plan vacation ideas,personal
Take evening walk,personal
Watch favorite TV series,personal
Clean phone gallery,personal
Write personal journal,personal
Relax with music,personal
Prepare notes for chemistry exam,study
Review differential equations,study
Practice data structures problems,study
Study networking fundamentals,study
Prepare answers for oral exam,study
Watch lecture recording,study
Read documentation on REST APIs,study
Prepare summary for lecture,study
Solve probability exercises,study
Study software testing basics,study
Prepare exam timetable,study
